date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:21:01	338/338	---M-Z	200	added ('OK')	text/plain	date:Fri,%2008%20Dec%202023%2023:19:50%20GMT	https://wvgbc.com/robots.txt		(from )
07:21:02	307396/307396	---M-Z	200	added ('OK')	text/html	etag:W/%226e2c7b1d1da0bb4c476247e6f713ed3f%22	https://wvgbc.com/	/home/enzerhub/websites/barrel/wvgbc.com/index.html	(from )
07:21:03	3756/3756	---M--	200	added ('OK')	image/png	etag:COGF1bLrnO8CEAE=	https://images.squarespace-cdn.com/content/v1/604411ca3bcae94a8d7af043/1615073970449-A27Q7XWTKHM02LEOJT1G/favicon.ico?format=100w	/home/enzerhub/websites/barrel/images.squarespace-cdn.com/content/v1/604411ca3bcae94a8d7af043/1615073970449-A27Q7XWTKHM02LEOJT1G/faviconfc89.png	(from https://wvgbc.com/)
07:21:04	0/0	---M--	301	error ('Moved%20Permanently')	image/png	date:Fri,%2008%20Dec%202023%2023:19:53%20GMT	http://static1.squarespace.com/static/604411ca3bcae94a8d7af043/t/60fe2b5fdd4cc81b84c25e84/1627269984107/WVGBC_Logo_.png?format=1500w	/home/enzerhub/websites/barrel/static1.squarespace.com/static/604411ca3bcae94a8d7af043/t/60fe2b5fdd4cc81b84c25e84/1627269984107/WVGBC_Logo_.126f7.delayed	(from https://wvgbc.com/)
07:21:05	35307/35307	---M--	200	added ('OK')	image/png	etag:CMCHhorl//ECEAE=	https://images.squarespace-cdn.com/content/604411ca3bcae94a8d7af043/239dbf1f-4a2d-4d0e-b65c-c38101f5dea1/WVGBC_Logo_.png?format=1500w&content-type=image%2Fpng	/home/enzerhub/websites/barrel/images.squarespace-cdn.com/content/604411ca3bcae94a8d7af043/239dbf1f-4a2d-4d0e-b65c-c38101f5dea1/WVGBC_Logo_2acd.png	(from https://wvgbc.com/)
07:21:06	8/8	---M--	200	added ('OK')	text/html	date:Fri,%2008%20Dec%202023%2023:19:56%20GMT	https://images.squarespace-cdn.com/	/home/enzerhub/websites/barrel/images.squarespace-cdn.com/index.html	(from https://wvgbc.com/)
07:21:06	775/775	---MC-	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2023:19:55%20GMT	https://fonts.googleapis.com/css2?family=Nunito:ital,wght@0,300;0,400;0,700;1,400	/home/enzerhub/websites/barrel/fonts.googleapis.com/css23714.css	(from https://wvgbc.com/)
07:21:07	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	/home/enzerhub/websites/barrel/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://wvgbc.com/)
07:21:10	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	/home/enzerhub/websites/barrel/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://wvgbc.com/)
07:21:12	48405/48405	---M-Z	200	added ('OK')	text/javascript	etag:%228ac857141bae4e1ee2233aa8d4884de7%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-70f18f8b0b6bd469c4e8d-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/extract-css-runtime-70f18f8b0b6bd469c4e8d-min.en-US.js	(from https://wvgbc.com/)
07:21:16	124578/124578	---M-Z	200	added ('OK')	text/javascript	etag:%223928ae779effa841561293a3516d226a%22	http://assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/cldr-resource-pack-110eab6cc05faf9931604-min.en-US.js	(from https://wvgbc.com/)
07:21:26	245973/245973	---M-Z	200	added ('OK')	text/javascript	etag:%22e3a116f1cdca92a942f6f6cf39652656%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-7df2661e23d95d8009d28-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/common-vendors-stable-7df2661e23d95d8009d28-min.en-US.js	(from https://wvgbc.com/)
07:21:30	35881/35881	---M-Z	200	added ('OK')	text/javascript	etag:%221e7847b72463da57a40f002a1cb10c86%22	http://assets.squarespace.com/universal/scripts-compressed/performance-0b3f7b64dc4f91a2d739a-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/performance-0b3f7b64dc4f91a2d739a-min.en-US.js	(from https://wvgbc.com/)
07:21:40	1370874/1370874	---M-Z	200	added ('OK')	text/javascript	etag:%22ec891f64e070ff9f9bc701d6c5f3fe4c%22	http://assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/extract-css-moment-js-vendor-e67ac5a108455ec4edca7-min.en-US.js	(from https://wvgbc.com/)
07:21:48	1081634/1081634	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2023:20:21%20GMT	https://static1.squarespace.com/static/versioned-site-css/604411ca3bcae94a8d7af043/81/5c5a519771c10ba3470d8101/604411ca3bcae94a8d7af05e/1467/site.css	/home/enzerhub/websites/barrel/static1.squarespace.com/static/versioned-site-css/604411ca3bcae94a8d7af043/81/5c5a519771c10ba3470d8101/604411ca3bcae94a8d7af05e/1467/site.css	(from https://wvgbc.com/)
07:21:50	71107/71107	---M-Z	200	added ('OK')	text/css	date:Fri,%2008%20Dec%202023%2023:20:31%20GMT	https://static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1699467906351-57EZFPH2B9UY1CKJS6AA/static.css	/home/enzerhub/websites/barrel/static1.squarespace.com/static/vta/5c5a519771c10ba3470d8101/versioned-assets/1699467906351-57EZFPH2B9UY1CKJS6AA/static.css	(from https://wvgbc.com/)
07:21:52	773776/773776	---M-Z	200	added ('OK')	text/javascript	etag:%22fad3dc7831bf78cd2b6f33d1fc2a2122%22	http://assets.squarespace.com/universal/scripts-compressed/common-vendors-b87503f824d7c2b78db70-min.en-US.js	/home/enzerhub/websites/barrel/assets.squarespace.com/universal/scripts-compressed/common-vendors-b87503f824d7c2b78db70-min.en-US.js	(from https://wvgbc.com/)
07:22:00	35307/35307	---M--	200	added ('OK')	image/png	etag:CKDTrtDVxvQCEAE=	http://images.squarespace-cdn.com/content/v1/604411ca3bcae94a8d7af043/7d29a60b-cc3c-4d65-8f60-99ef98072460/WVGBC_Logo_.png?format=1500w	/home/enzerhub/websites/barrel/images.squarespace-cdn.com/content/v1/604411ca3bcae94a8d7af043/7d29a60b-cc3c-4d65-8f60-99ef98072460/WVGBC_Logo_26f7.png	(from https://wvgbc.com/)
